                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.0017,                 1.1748,                0.99958,                0.97454,                      1,                0.84237,                  0.995,                0.73004,                      1,                0.84237,                  0.995,                0.64289,                0.97301,                 1.7601,                 2.0209,                0.98147,             0.00019788,             0.00019788,             0.00019788
                     39,                0.90793,                 1.0327,                0.88734,                0.93444,                      1,                0.85275,                  0.995,                 0.7784,                      1,                0.85275,                  0.995,                0.66326,                0.90217,                 1.6872,                 1.9847,                0.95235,             0.00018818,             0.00018818,             0.00018818
                     40,                0.97397,                 1.1403,                 1.0538,                0.93349,                      1,                0.85275,                  0.995,                 0.7784,                      1,                0.85275,                  0.995,                0.66326,                0.90217,                 1.6872,                 1.9847,                0.95235,             0.00017768,             0.00017768,             0.00017768
                     41,                0.87965,                  1.103,                 1.3272,                0.96715,                      1,                0.88564,                  0.995,                0.77315,                      1,                0.88564,                  0.995,                 0.6494,                0.91692,                 1.6234,                  1.933,                0.95655,              0.0001664,              0.0001664,              0.0001664
                     42,                0.76581,                 0.8919,                 1.1688,                0.90934,                      1,                0.88564,                  0.995,                0.77315,                      1,                0.88564,                  0.995,                 0.6494,                0.91692,                 1.6234,                  1.933,                0.95655,             0.00015432,             0.00015432,             0.00015432
                     43,                0.79817,                0.99546,                 1.2789,                 1.0188,                      1,                0.91838,                  0.995,                0.77895,                      1,                0.91838,                  0.995,                0.67883,                0.92348,                  1.609,                 1.9034,                0.96146,             0.00014146,             0.00014146,             0.00014146
                     44,                0.78702,                 1.0383,                 1.2897,                0.88944,                      1,                0.91838,                  0.995,                0.77895,                      1,                0.91838,                  0.995,                0.67883,                0.92348,                  1.609,                 1.9034,                0.96146,              0.0001278,              0.0001278,              0.0001278
                     45,                0.84418,                0.87406,                 1.1346,                 1.0258,                      1,                0.92525,                  0.995,                0.80684,                      1,                0.92525,                  0.995,                0.69167,                0.91994,                 1.5849,                 1.8656,                0.95917,             0.00011334,             0.00011334,             0.00011334
                     46,                0.68102,                0.91517,                 1.1116,                0.94991,                      1,                0.92525,                  0.995,                0.80684,                      1,                0.92525,                  0.995,                0.69167,                0.91994,                 1.5849,                 1.8656,                0.95917,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                0.82506,                0.85484,                 1.0982,                0.94615,                      1,                0.93546,                  0.995,                0.73999,                      1,                0.93546,                  0.995,                0.68341,                0.91412,                  1.548,                 1.8327,                0.96249,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                0.73567,                0.98274,                 1.0345,                0.88122,                      1,                0.93546,                  0.995,                0.73999,                      1,                0.93546,                  0.995,                0.68341,                0.91412,                  1.548,                 1.8327,                0.96249,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                0.74975,                0.89599,                 1.0656,                0.96019,                      1,                0.93973,                  0.995,                0.70691,                      1,                0.93973,                  0.995,                0.69022,                 0.8933,                 1.5287,                 1.8091,                 0.9656,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                0.79366,                0.97595,                 1.0703,                0.93672,                      1,                0.93973,                  0.995,                0.70691,                      1,                0.93973,                  0.995,                0.69022,                 0.8933,                 1.5287,                 1.8091,                 0.9656,             2.9204e-05,             2.9204e-05,             2.9204e-05
